model,index,period,dist,seed,n,exceptions,expected,var_mean,var_std,p_uc,p_cc,p_ind,p_dq,lopez,caporin_reg,caporin_firm
garchnet,wig20,2009,t,2.0,250,7,6.25,-0.04055894508028864,0.00489029635044939,0.7655653444137516,0.9565178499324095,1.0,0.9676730994187481,7.001749234645423,-1.8197495872517566,257.16112951060313
garchnet,wig20,2009,t,3.0,250,6,6.25,-0.04050172326967522,0.0017750734853198523,0.9188018674814984,0.29617885187630155,0.11955116835488078,0.17209867394153722,6.002209845312153,-2.079297876827325,256.76950379793175
garchnet,wig20,2011,normal,1.0,250,8,6.25,-0.03493596843317181,0.008082319155728804,0.4965251678312268,0.39786383564863814,0.23994188207731293,0.27201671088977086,8.002096801724022,-2.3633877985492733,240.8285493348733
garchnet,wig20,2011,normal,2.0,250,6,6.25,-0.034806192404760114,0.00817456417780287,0.9188018674814984,0.29617885187630155,0.11955116835488078,0.06314793708955047,6.00248481063525,-2.4648114110633514,240.9676290676075
garchnet,wig20,2011,normal,3.0,250,6,6.25,-0.03517905071697466,0.008020171222414007,0.9188018674814984,0.29617885187630155,0.11955116835488078,0.34939040464375515,6.00217537480802,-2.186323850704217,241.28148286247506
garchnet,wig20,2011,skewt,1.0,250,4,6.25,-0.03845326966749173,0.002608012493079576,0.32961526319804,0.6217579568519986,1.0,0.28933715175154595,4.001610905606061,-1.7196931751523519,243.331196349483
garchnet,wig20,2011,skewt,2.0,250,3,6.25,-0.04037686604443601,0.010210902801941108,0.1435648642736429,0.34312396537806633,1.0,0.022401238437844806,3.0012717693239814,-1.2099124838447375,242.0354079902924
garchnet,wig20,2011,skewt,3.0,250,4,6.25,-0.04212165024637587,0.0009961989820600236,0.32961526319804,0.6217579568519986,1.0,0.8498412714047437,4.001501739935551,-1.5852119406319871,244.03212516233037
garchnet,wig20,2011,t,1.0,250,4,6.25,-0.03859168787299715,0.0005299869056264106,0.32961526319804,0.6217579568519986,1.0,0.9839190123940723,4.002176913436969,-2.2113257680704566,243.4061679856482
garchnet,wig20,2011,t,2.0,250,4,6.25,-0.040052137622329155,0.0047406478056942125,0.32961526319804,0.6217579568519986,1.0,0.7418790788167511,4.001349563147497,-1.5226174045002276,243.45018847072777
garchnet,wig20,2011,t,3.0,250,4,6.25,-0.04071746909298738,0.0007014139009919785,0.32961526319804,0.6217579568519986,1.0,0.9464287636585637,4.001765088119038,-1.8328623891974776,243.67957601759812
garchnet,wig20,2020,normal,1.0,250,21,6.25,-0.025853112053225196,0.0120077563156174,2.3167490520448197e-06,1.103671684266061e-06,0.0236368759919654,7.338574192772285e-14,21.016810920898426,-14.530914567168683,245.2587037949258
garchnet,wig20,2020,normal,2.0,250,19,6.25,-0.026953169233531915,0.014820809516570319,2.981701366622236e-05,7.53869299554566e-05,0.21220747196953627,3.006589623932854e-07,19.009690667378955,-10.492019863429448,248.9496413216214
garchnet,wig20,2020,normal,3.0,250,21,6.25,-0.026356573464395183,0.013558403992976434,2.3167490520448197e-06,1.103671684266061e-06,0.0236368759919654,2.2526425169644426e-13,21.0129401425307,-12.160432408217405,247.42236332795738
garchnet,wig20,2020,skewt,1.0,250,20,6.25,-0.024927386099005782,0.0015000432258761923,8.523543760352581e-06,2.5289472813661007e-06,0.014644578693981836,1.1102230246251565e-16,20.022150115002862,-17.10837403082262,246.01578095488338
garchnet,wig20,2020,skewt,2.0,250,19,6.25,-0.026822318973779718,0.004755768676814302,2.981701366622236e-05,5.255348176635977e-06,0.00870156086806062,2.4091839634365897e-14,19.01950310192748,-14.12328397261856,245.49084835429383
garchnet,wig20,2020,skewt,3.0,250,18,6.25,-0.027031094225407143,0.0012430788511244985,9.897340380438102e-05,5.2746765979772015e-05,0.03303762911982144,1.8984813721090177e-14,18.020684962295178,-14.237263288478346,246.52246575540818
garchnet,wig20,2020,t,1.0,250,20,6.25,-0.02481111752289159,0.0016665756408174484,8.523543760352581e-06,2.5289472813661007e-06,0.014644578693981836,0.0,20.023004627434386,-18.198056607038655,245.2887850687605
garchnet,wig20,2020,t,2.0,250,18,6.25,-0.026643629451859083,0.005094286119147444,9.897340380438102e-05,5.2746765979772015e-05,0.03303762911982144,6.342149028171207e-12,18.020955439806002,-15.49716090470298,244.46797671088297
garchnet,wig20,2020,t,3.0,250,19,6.25,-0.02619065206103496,0.002135038738628962,2.981701366622236e-05,5.255348176635977e-06,0.00870156086806062,1.887379141862766e-15,19.021134750173275,-15.301804743303286,245.76820324002023
